,user_id,text,disorder
0,3f21058fc8,"@amirulmokhtar Exactly! We were busy buat untuk orang, brand sendiri tak buat-buat🤣",anxiety
1,3f21058fc8,"Ternangis baca text &amp; dengar call reply dieorang.

I'm glad I followed nasihat tuan Bukhari &amp; Aleem to choose my clients😄

Feel more pumped up to improve my team and I, so that we can overdeliver to all of this kind human.",anxiety
2,3f21058fc8,"I learn smthg very valuable today.

When I was being honest with my condition to my clients,all of them replied with thoughtful supportive words. Such considerate human.

Plus,they're real&amp;optimistic too. 
As I checked on them 1 by 1 for PKP plan,they willingly shared their ideas",anxiety
3,3f21058fc8,"@MintKr Ohhh okay. So, to create more opportunities, we can do more things such as engaging with more people? 

Any recommendations on ways to create more opportunities?",anxiety
4,3f21058fc8,@MintKr Perspective expanding experience tu apa mint?,anxiety
5,3f21058fc8,"@HusnaReads @auzainal Me too.😭 Sekarang pun dah start bergelora macam laut china selatan.
Nak restart my sugar fasting and workout balik.
What about you? Whats your plan utk kuatkan your mind?",anxiety
6,3f21058fc8,@TheAleem @fidonasir Priceless.haha🤣,anxiety
7,3f21058fc8,"@TweetKellyTelly @zamrimohamad Baru nak tanya soalan sama.
Willpower?",anxiety
8,3f21058fc8,@itsedma @edmastudios 💪keep going!,anxiety
9,3f21058fc8,@_arares Paling senang buat je. Selamat dunia akhirat kalau bertembung bang askar.,anxiety
10,3f21058fc8,"I couldn't sleep. Figured out I need more stimulus to win against my anxiety such as new set of battle song.

Here, I created new playlist for our fellow friends here. If you are feeling low, try to listen to this before you start your day.

https://t.co/FogcOM26Wn",anxiety
11,3f21058fc8,"No reason to give up.
No reason to stop hustling.
Keep your eyes open for the opportunities and keep going.

Just keep going!",anxiety
12,3f21058fc8,@bekalmom Will do this as often as I can madam. Thank you for your kind thoughts.May Allah bless your fam🌻✨,anxiety
13,3f21058fc8,"@bekalmom This really hits me. its hard madam.😢 I rarely hear positive affirmation from my circle previously. 

The impact is still subconsciously overpowering my own positive self-affirmation. Keep hearing their words.

Do you have good advice how to handle this?",anxiety
14,3f21058fc8,"@bukhariramli Back to basic, dengar strategy sharing tuan and do improvement on current plan.

Register more affiliate account.",anxiety
15,3f21058fc8,@MintKr Yup. it's thing for their peers. Sekolah lain pun start tiru that batch name.haha,anxiety
16,3f21058fc8,@TheAleem Ajar sikit,anxiety
17,3f21058fc8,@MintKr @TheAleem My sister dia form 5 last year. This year the batch requested from their principal to be form 5 Pro Max😆,anxiety
18,3f21058fc8,@nikakmal00 Yes please! I have a lot of important HR questions to ask you,anxiety
19,3f21058fc8,"Bisnes owners nak buat apa sewaktu PKP kalini? Jom tengok balik video ni. 
https://t.co/0v53gohf78

Looking back, I'm glad I forced my ex-directors to do this Live video😭

Remember the key: Cash reserve.
May Allah help all of us.",anxiety
20,3f21058fc8,"Anxiously waiting for this announcement since it will effect my clients directly. 

Any ideas on what value we can add for the affected business as service provider?",anxiety
21,3f21058fc8,"@TheAleem Berry good name! Nanti tanamlah sekali some pokok berries, can make a lot of good pun 😆",anxiety
